replyID,replyDate,typeNameD,title,reply_object,longitude,latitude
14932126,2022-05-31 22:18:00, 投诉/求助 ,华润燃气改造对居民生活的造出极为不便的影响,辽宁省大连市市长陈绍旺,121.614848,38.914086
14931574,2022-05-31 21:43:00, 投诉/求助 ,没有及时上门维修,辽宁省大连市市长陈绍旺,121.614848,38.914086
14895082,2022-05-28 23:26:00, 投诉/求助 ,大连华润燃气公司的“气霸”作风,辽宁省大连市市长陈绍旺,121.614848,38.914086
14847128,2022-05-25 02:29:00, 投诉/求助 ,群众投诉无门,辽宁省大连市市长陈绍旺,121.614848,38.914086
14831753,2022-05-24 00:01:00, 投诉/求助 ,燃气报警器按装,辽宁省沈阳市铁西区委书记,123.333968,41.820807
14797788,2022-05-21 02:23:00, 投诉/求助 ,亿达地产利用疫情规避责任,辽宁省大连市委书记胡玉亭,121.614848,38.914086
14788024,2022-05-20 04:01:00, 投诉/求助 ,华润天然气停气一周无人处理,辽宁省大连市委书记胡玉亭,121.614848,38.914086
14775251,2022-05-19 03:39:00, 投诉/求助 ,华润燃气停气3个月，官方渠道寻找无门,辽宁省大连市市长陈绍旺,121.614848,38.914086
14768497,2022-05-18 18:40:00, 投诉/求助 ,天然气公司,辽宁省大连市市长陈绍旺,121.614848,38.914086
14385308,2022-04-27 10:18:00, 投诉/求助 ,72户居民停气两个月的工程,辽宁省省长李乐成,121.614848,38.914086
14331814,2022-04-25 10:33:00, 投诉/求助 ,天然气停气的第40天,辽宁省大连市市长陈绍旺,121.614848,38.914086
14330665,2022-04-25 09:17:00, 投诉/求助 ,沙河口区新建东街41号楼求通气,辽宁省大连市市长陈绍旺,121.614848,38.914086
14316935,2022-04-24 21:04:00, 投诉/求助 ,景山小区燃气何时复供,辽宁省大连市中山区委书记,121.644926,38.918574
14260540,2022-04-21 01:07:00, 投诉/求助 ,帮忙解决天然气问题,辽宁省大连市市长陈绍旺,121.614848,38.914086
14178120,2022-04-16 08:33:00, 投诉/求助 ,中山区桃源街道高家沟112号楼不给通气,辽宁省大连市委书记胡玉亭,121.614848,38.914086
14145894,2022-04-14 22:42:00, 投诉/求助 ,华润燃气不作为,辽宁省大连市委书记胡玉亭,121.614848,38.914086
14130939,2022-04-14 03:56:00, 投诉/求助 ,投诉甘井子住建局,辽宁省大连市市长陈绍旺,121.614848,38.914086
14083137,2022-04-10 04:20:00, 投诉/求助 ,大连华润燃气拖延恢复供气,辽宁省大连市市长陈绍旺,121.614848,38.914086
13971957,2022-03-30 21:34:00, 投诉/求助 ,什么时候能用上天然气,辽宁省大连市市长陈绍旺,121.614848,38.914086
13970650,2022-03-30 19:06:00, 咨询 ,21年8月至今停气无人解决,辽宁省大连市委书记胡玉亭,121.614848,38.914086
13970188,2022-03-30 15:46:00, 投诉/求助 ,丹东香海花园一月内主管道漏水4次，求助无果,辽宁省委书记郝鹏,124.35445,40.000787
13948204,2022-03-28 22:28:00, 投诉/求助 ,张庄供暖投诉,辽宁省铁岭市调兵山市委书记,123.567117,42.467521
13914071,2022-03-25 10:35:00, 投诉/求助 ,辽阳市白塔区巴塞罗那小区，中燃供暖，三月就提,辽宁省辽阳市委书记霍步刚,123.236974,41.267794
13912927,2022-03-25 08:48:00, 咨询 ,中燃收费不给供暖,辽宁省辽阳市文圣区委书记,123.231408,41.283754
13899917,2022-03-24 07:21:00, 投诉/求助 ,停煤气快一个月没人管，老人为此重病。,辽宁省大连市市长陈绍旺,121.614848,38.914086
13881294,2022-03-22 22:15:00, 投诉/求助 ,西市区大中自然元小区提前停气,辽宁省营口市西市区委书记,122.206419,40.666213
13867336,2022-03-21 20:37:00, 投诉/求助 ,华润燃气挂表整改拖延 严重影响正常生活,辽宁省大连市委书记胡玉亭,121.614848,38.914086
13841252,2022-03-19 06:43:00, 投诉/求助 ,投诉,辽宁省大连市委书记胡玉亭,121.614848,38.914086
13823627,2022-03-17 20:12:00, 投诉/求助 ,解决供暖和最大烂尾楼马德里,辽宁省阜新市委书记胡涛,121.670273,42.021602
13810374,2022-03-16 18:44:00, 投诉/求助 ,铁东湖南供暖提前停气,辽宁省鞍山市委书记余功斌,122.994329,41.108647
13789372,2022-03-15 00:43:00, 投诉/求助 ,华润燃气停气儿一个多月不维修,辽宁省委书记郝鹏,121.644926,38.918574
13778258,2022-03-14 02:25:00, 投诉/求助 ,华润燃气不作为,辽宁省大连市委书记胡玉亭,121.614848,38.914086
13777786,2022-03-14 01:38:00, 投诉/求助 ,沈阳市铁西区惠天热电目前已停气,辽宁省沈阳市委书记王新伟,123.465035,41.677284
13718260,2022-03-09 03:15:00, 投诉/求助 ,晓南镇连续三天白天停气,辽宁省铁岭市调兵山市委书记,123.567117,42.467521
13693097,2022-03-07 20:27:00, 投诉/求助 ,煤气公司效率低,辽宁省委书记郝鹏,123.029091,41.150401
13582890,2022-03-01 19:47:00, 投诉/求助 ,凯达热力,辽宁省鞍山市海城市委书记,122.685217,40.882377
